Original_Diagnosis,ICD_Code,ICD_Description,Match_Score,Suggested_Alternatives,Justification
Non-ST elevation (NSTEMI) myocardial infarction,I214,Non-ST elevation (NSTEMI) myocardial infarction,100.0,,Fuzzy matched to: 'Non-ST elevation (NSTEMI) myocardial infarction' with score 100.0
Acute bronchitis due to other specified organisms,J208,Acute bronchitis due to other specified organisms,100.0,,Fuzzy matched to: 'Acute bronchitis due to other specified organisms' with score 100.0
Atherosclerotic heart disease of native coronary artery without angina pectoris,I2510,Atherosclerotic heart disease of native coronary artery without angina pectoris,100.0,,Fuzzy matched to: 'Atherosclerotic heart disease of native coronary artery without angina pectoris' with score 100.0
"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",I129,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",100.0,,"Fuzzy matched to: 'Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease' with score 100.0"
"Body mass index (BMI) 36.0-36.9, adult",Z6836,"Body mass index [BMI] 36.0-36.9, adult",94.73684210526316,,"Fuzzy matched to: 'Body mass index [BMI] 36.0-36.9, adult' with score 94.73684210526316"
Pure hypercholesterolemia,E7800,"Pure hypercholesterolemia, unspecified",90.0,,"Fuzzy matched to: 'Pure hypercholesterolemia, unspecified' with score 90.0"
Hypovolemia,E861,Hypovolemia,100.0,,Fuzzy matched to: 'Hypovolemia' with score 100.0
Other hemorrhoids,K648,Other hemorrhoids,100.0,,Fuzzy matched to: 'Other hemorrhoids' with score 100.0
Hypertensive heart disease with heart failure,I110,Hypertensive heart disease with heart failure,100.0,,Fuzzy matched to: 'Hypertensive heart disease with heart failure' with score 100.0
"Disorientation, unspecified",R410,"Disorientation, unspecified",100.0,,"Fuzzy matched to: 'Disorientation, unspecified' with score 100.0"
"Hypotension, unspecified",I959,"Hypotension, unspecified",100.0,,"Fuzzy matched to: 'Hypotension, unspecified' with score 100.0"
Pain in unspecified shoulder,M25519,Pain in unspecified shoulder,100.0,,Fuzzy matched to: 'Pain in unspecified shoulder' with score 100.0
"Adverse effect of antineoplastic and immunosuppressive drugs, initial encounter",A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Sick sinus syndrome,I495,Sick sinus syndrome,100.0,,Fuzzy matched to: 'Sick sinus syndrome' with score 100.0
"Anemia, unspecified",D649,"Anemia, unspecified",100.0,,"Fuzzy matched to: 'Anemia, unspecified' with score 100.0"
Gastro-esophageal reflux disease without esophagitis,K219,Gastro-esophageal reflux disease without esophagitis,100.0,,Fuzzy matched to: 'Gastro-esophageal reflux disease without esophagitis' with score 100.0
"Acute kidney failure, unspecified",N179,"Acute kidney failure, unspecified",100.0,,"Fuzzy matched to: 'Acute kidney failure, unspecified' with score 100.0"
Abnormal levels of other serum enzymes,R748,Abnormal levels of other serum enzymes,100.0,,Fuzzy matched to: 'Abnormal levels of other serum enzymes' with score 100.0
Ventricular premature depolarization,I493,Ventricular premature depolarization,100.0,,Fuzzy matched to: 'Ventricular premature depolarization' with score 100.0
Hyperkalemia,E875,Hyperkalemia,100.0,,Fuzzy matched to: 'Hyperkalemia' with score 100.0
"Primary osteoarthritis, unspecified shoulder",M19019,"Primary osteoarthritis, unspecified shoulder",100.0,,"Fuzzy matched to: 'Primary osteoarthritis, unspecified shoulder' with score 100.0"
Other specified abnormal findings of blood chemistry,R7989,Other specified abnormal findings of blood chemistry,100.0,,Fuzzy matched to: 'Other specified abnormal findings of blood chemistry' with score 100.0
Other complications of other bariatric procedure,K9589,Other complications of other bariatric procedure,100.0,,Fuzzy matched to: 'Other complications of other bariatric procedure' with score 100.0
"Disease of pericardium, unspecified",I319,"Disease of pericardium, unspecified",100.0,,"Fuzzy matched to: 'Disease of pericardium, unspecified' with score 100.0"
"Body mass index (BMI) 40.0-44.9, adult",Z6841,"Body mass index [BMI] 40.0-44.9, adult",94.73684210526316,,"Fuzzy matched to: 'Body mass index [BMI] 40.0-44.9, adult' with score 94.73684210526316"
"Retention of urine, unspecified",R339,"Retention of urine, unspecified",100.0,,"Fuzzy matched to: 'Retention of urine, unspecified' with score 100.0"
Palpitations,R002,Palpitations,100.0,,Fuzzy matched to: 'Palpitations' with score 100.0
Status post administration of tPA (rtPA) in a different facility within the last 24 hours prior to admission to current facility,Z9282,Status post administration of tPA (rtPA) in a different facility within the last 24 hours prior to admission to current facility,100.0,,Fuzzy matched to: 'Status post administration of tPA (rtPA) in a different facility within the last 24 hours prior to admission to current facility' with score 100.0
Malignant neoplasm of descended left testis,C6212,Malignant neoplasm of descended left testis,100.0,,Fuzzy matched to: 'Malignant neoplasm of descended left testis' with score 100.0
"Acute pericarditis, unspecified",I309,"Acute pericarditis, unspecified",100.0,,"Fuzzy matched to: 'Acute pericarditis, unspecified' with score 100.0"
Other sequelae of cerebral infarction,I69398,Other sequelae of cerebral infarction,100.0,,Fuzzy matched to: 'Other sequelae of cerebral infarction' with score 100.0
Bilateral primary osteoarthritis of hip,M160,Bilateral primary osteoarthritis of hip,100.0,,Fuzzy matched to: 'Bilateral primary osteoarthritis of hip' with score 100.0
"Hypothyroidism, unspecified",E039,"Hypothyroidism, unspecified",100.0,,"Fuzzy matched to: 'Hypothyroidism, unspecified' with score 100.0"
"Bradycardia, unspecified",R001,"Bradycardia, unspecified",100.0,,"Fuzzy matched to: 'Bradycardia, unspecified' with score 100.0"
Unspecified atrial fibrillation,I4891,Unspecified atrial fibrillation,100.0,,Fuzzy matched to: 'Unspecified atrial fibrillation' with score 100.0
Encounter for antineoplastic chemotherapy,Z5111,Encounter for antineoplastic chemotherapy,100.0,,Fuzzy matched to: 'Encounter for antineoplastic chemotherapy' with score 100.0
Other place in hospital as the place of occurrence of the external cause,Y92238,Other place in hospital as the place of occurrence of the external cause,100.0,,Fuzzy matched to: 'Other place in hospital as the place of occurrence of the external cause' with score 100.0
Other specified diseases of intestine,K6389,Other specified diseases of intestine,100.0,,Fuzzy matched to: 'Other specified diseases of intestine' with score 100.0
"Major depressive disorder, single episode, unspecified",F329,"Major depressive disorder, single episode, unspecified",100.0,,"Fuzzy matched to: 'Major depressive disorder, single episode, unspecified' with score 100.0"
Obstructive sleep apnea (adult) (pediatric),G4733,Obstructive sleep apnea (adult) (pediatric),100.0,,Fuzzy matched to: 'Obstructive sleep apnea (adult) (pediatric)' with score 100.0
Long term (current) use of anticoagulants,Z7901,Long term (current) use of anticoagulants,100.0,,Fuzzy matched to: 'Long term (current) use of anticoagulants' with score 100.0
Monoplegia of lower limb following cerebral infarction affecting left non-dominant side,I69344,Monoplegia of lower limb following cerebral infarction affecting left non-dominant side,100.0,,Fuzzy matched to: 'Monoplegia of lower limb following cerebral infarction affecting left non-dominant side' with score 100.0
"Hematuria, unspecified",R319,"Hematuria, unspecified",100.0,,"Fuzzy matched to: 'Hematuria, unspecified' with score 100.0"
Fistula of stomach and duodenum,K316,Fistula of stomach and duodenum,100.0,,Fuzzy matched to: 'Fistula of stomach and duodenum' with score 100.0
Cardiogenic shock,R570,Cardiogenic shock,100.0,,Fuzzy matched to: 'Cardiogenic shock' with score 100.0
"Urinary tract infection, site not specified",N390,"Urinary tract infection, site not specified",100.0,,"Fuzzy matched to: 'Urinary tract infection, site not specified' with score 100.0"
Type 2 diabetes mellitus with diabetic nephropathy,E1121,Type 2 diabetes mellitus with diabetic nephropathy,100.0,,Fuzzy matched to: 'Type 2 diabetes mellitus with diabetic nephropathy' with score 100.0
Other chest pain,R0789,Other chest pain,100.0,,Fuzzy matched to: 'Other chest pain' with score 100.0
Localized edema,R600,Localized edema,100.0,,Fuzzy matched to: 'Localized edema' with score 100.0
Unspecified dementia without behavioral disturbance,F03A18,"Unspecified dementia, mild, with other behavioral disturbance",89.28571428571429,,"Fuzzy matched to: 'Unspecified dementia, mild, with other behavioral disturbance' with score 89.28571428571429"
Acquired absence of other specified parts of digestive tract,Z9049,Acquired absence of other specified parts of digestive tract,100.0,,Fuzzy matched to: 'Acquired absence of other specified parts of digestive tract' with score 100.0
"Homonymous bilateral field defects, left side",H53462,"Homonymous bilateral field defects, left side",100.0,,"Fuzzy matched to: 'Homonymous bilateral field defects, left side' with score 100.0"
Type 2 diabetes mellitus with diabetic polyneuropathy,E1142,Type 2 diabetes mellitus with diabetic polyneuropathy,100.0,,Fuzzy matched to: 'Type 2 diabetes mellitus with diabetic polyneuropathy' with score 100.0
"Iron deficiency anemia, unspecified",D509,"Iron deficiency anemia, unspecified",100.0,,"Fuzzy matched to: 'Iron deficiency anemia, unspecified' with score 100.0"
"Hyperlipidemia, unspecified",E785,"Hyperlipidemia, unspecified",100.0,,"Fuzzy matched to: 'Hyperlipidemia, unspecified' with score 100.0"
"Body mass index (BMI) 34.0-34.9, adult",Z6834,"Body mass index [BMI] 34.0-34.9, adult",94.73684210526316,,"Fuzzy matched to: 'Body mass index [BMI] 34.0-34.9, adult' with score 94.73684210526316"
Hemorrhage of anus and rectum,K625,Hemorrhage of anus and rectum,100.0,,Fuzzy matched to: 'Hemorrhage of anus and rectum' with score 100.0
Unspecified place or not applicable,Y929,Unspecified place or not applicable,100.0,,Fuzzy matched to: 'Unspecified place or not applicable' with score 100.0
Pure hyperglyceridemia,E781,Pure hyperglyceridemia,100.0,,Fuzzy matched to: 'Pure hyperglyceridemia' with score 100.0
Other fatigue,R5383,Other fatigue,100.0,,Fuzzy matched to: 'Other fatigue' with score 100.0
Pericardial effusion (noninflammatory),I3139,Other pericardial effusion (noninflammatory),90.2439024390244,,Fuzzy matched to: 'Other pericardial effusion (noninflammatory)' with score 90.2439024390244
Bariatric surgery status,Z9884,Bariatric surgery status,100.0,,Fuzzy matched to: 'Bariatric surgery status' with score 100.0
Encounter for adjustment and management of other part of cardiac pacemaker,Z45018,Encounter for adjustment and management of other part of cardiac pacemaker,100.0,,Fuzzy matched to: 'Encounter for adjustment and management of other part of cardiac pacemaker' with score 100.0
Pain in left shoulder,M25512,Pain in left shoulder,100.0,,Fuzzy matched to: 'Pain in left shoulder' with score 100.0
"Nephropathy induced by other drugs, medicaments and biological substances",N1419,"Nephropathy induced by other drugs, medicaments and biological substances",100.0,,"Fuzzy matched to: 'Nephropathy induced by other drugs, medicaments and biological substances' with score 100.0"
Diabetes mellitus due to underlying condition with hyperglycemia,E0865,Diabetes mellitus due to underlying condition with hyperglycemia,100.0,,Fuzzy matched to: 'Diabetes mellitus due to underlying condition with hyperglycemia' with score 100.0
Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side,I69354,Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side,100.0,,Fuzzy matched to: 'Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side' with score 100.0
Cerebral infarction due to embolism of unspecified cerebral artery,I6340,Cerebral infarction due to embolism of unspecified cerebral artery,100.0,,Fuzzy matched to: 'Cerebral infarction due to embolism of unspecified cerebral artery' with score 100.0
Facial weakness following cerebral infarction,I69392,Facial weakness following cerebral infarction,100.0,,Fuzzy matched to: 'Facial weakness following cerebral infarction' with score 100.0
"Thrombocytopenia, unspecified",D696,"Thrombocytopenia, unspecified",100.0,,"Fuzzy matched to: 'Thrombocytopenia, unspecified' with score 100.0"
Essential (primary) hypertension,I10,Essential (primary) hypertension,100.0,,Fuzzy matched to: 'Essential (primary) hypertension' with score 100.0
"Cerebral aneurysm, nonruptured",I671,"Cerebral aneurysm, nonruptured",100.0,,"Fuzzy matched to: 'Cerebral aneurysm, nonruptured' with score 100.0"
Other and unspecified hyperlipidemia,A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
"Chronic kidney disease, unspecified",N189,"Chronic kidney disease, unspecified",100.0,,"Fuzzy matched to: 'Chronic kidney disease, unspecified' with score 100.0"
Ataxia following other cerebrovascular disease,I69893,Ataxia following other cerebrovascular disease,100.0,,Fuzzy matched to: 'Ataxia following other cerebrovascular disease' with score 100.0
"Major depressive disorder, single episode, unspecified",F329,"Major depressive disorder, single episode, unspecified",100.0,,"Fuzzy matched to: 'Major depressive disorder, single episode, unspecified' with score 100.0"
Obstructive sleep apnea (adult)(pediatric),G4733,Obstructive sleep apnea (adult) (pediatric),98.82352941176471,,Fuzzy matched to: 'Obstructive sleep apnea (adult) (pediatric)' with score 98.82352941176471
"Body Mass Index 32.0-32.9, adult",Z6832,"Body mass index [BMI] 32.0-32.9, adult",85.71428571428572,,"Fuzzy matched to: 'Body mass index [BMI] 32.0-32.9, adult' with score 85.71428571428572"
Other late effects of cerebrovascular disease,A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
Other musculoskeletal symptoms referable to limbs,A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
"Manic episode, unspecified",F309,"Manic episode, unspecified",100.0,,"Fuzzy matched to: 'Manic episode, unspecified' with score 100.0"
Unspecified essential hypertension,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",I129,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",100.0,,"Fuzzy matched to: 'Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease' with score 100.0"
Tobacco use disorder,Z720,Tobacco use,90.0,,Fuzzy matched to: 'Tobacco use' with score 90.0
"Hemiplegia, unspecified affecting right dominant side",G8191,"Hemiplegia, unspecified affecting right dominant side",100.0,,"Fuzzy matched to: 'Hemiplegia, unspecified affecting right dominant side' with score 100.0"
History of falling,Z9181,History of falling,100.0,,Fuzzy matched to: 'History of falling' with score 100.0
"Decreased white blood cell count, unspecified",D72819,"Decreased white blood cell count, unspecified",100.0,,"Fuzzy matched to: 'Decreased white blood cell count, unspecified' with score 100.0"
"Hyperlipidemia, unspecified",E785,"Hyperlipidemia, unspecified",100.0,,"Fuzzy matched to: 'Hyperlipidemia, unspecified' with score 100.0"
Paroxysmal atrial fibrillation,I480,Paroxysmal atrial fibrillation,100.0,,Fuzzy matched to: 'Paroxysmal atrial fibrillation' with score 100.0
"Obesity, unspecified",E669,"Obesity, unspecified",100.0,,"Fuzzy matched to: 'Obesity, unspecified' with score 100.0"
"Post-traumatic stress disorder, unspecified",F4310,"Post-traumatic stress disorder, unspecified",100.0,,"Fuzzy matched to: 'Post-traumatic stress disorder, unspecified' with score 100.0"
Unsteadiness on feet,R2681,Unsteadiness on feet,100.0,,Fuzzy matched to: 'Unsteadiness on feet' with score 100.0
"Nicotine dependence, cigarettes, uncomplicated",F17210,"Nicotine dependence, cigarettes, uncomplicated",100.0,,"Fuzzy matched to: 'Nicotine dependence, cigarettes, uncomplicated' with score 100.0"
"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",Y848,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",92.3076923076923,,"Fuzzy matched to: 'Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure' with score 92.3076923076923"
Acute respiratory failure,J9600,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia",90.0,,"Fuzzy matched to: 'Acute respiratory failure, unspecified whether with hypoxia or hypercapnia' with score 90.0"
Other specified analgesics and antipyretics causing adverse effects in therapeutic use,A028,Other specified salmonella infections,85.5,,Fuzzy matched to: 'Other specified salmonella infections' with score 85.5
Other specified disorders of peritoneum,K668,Other specified disorders of peritoneum,100.0,,Fuzzy matched to: 'Other specified disorders of peritoneum' with score 100.0
Ventilator associated pneumonia,J95851,Ventilator associated pneumonia,100.0,,Fuzzy matched to: 'Ventilator associated pneumonia' with score 100.0
"Leukocytosis, unspecified",A0220,"Localized salmonella infection, unspecified",85.5,,"Fuzzy matched to: 'Localized salmonella infection, unspecified' with score 85.5"
"Alcohol abuse, in remission",F1011,"Alcohol abuse, in remission",100.0,,"Fuzzy matched to: 'Alcohol abuse, in remission' with score 100.0"
Stricture of artery,I771,Stricture of artery,100.0,,Fuzzy matched to: 'Stricture of artery' with score 100.0
Accidents occurring in residential institution,B5732,Megacolon in Chagas' disease,85.5,,Fuzzy matched to: 'Megacolon in Chagas' disease' with score 85.5
Unspecified fall,A64,Unspecified sexually transmitted disease,85.5,,Fuzzy matched to: 'Unspecified sexually transmitted disease' with score 85.5
"Hemorrhage of gastrointestinal tract, unspecified",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Acute posthemorrhagic anemia,D62,Acute posthemorrhagic anemia,100.0,,Fuzzy matched to: 'Acute posthemorrhagic anemia' with score 100.0
Personal history of peptic ulcer disease,Z8711,Personal history of peptic ulcer disease,100.0,,Fuzzy matched to: 'Personal history of peptic ulcer disease' with score 100.0
"Malignant neoplasm of liver, secondary",A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Malignant neoplasm of body of pancreas,C251,Malignant neoplasm of body of pancreas,100.0,,Fuzzy matched to: 'Malignant neoplasm of body of pancreas' with score 100.0
Unspecified essential hypertension,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
Do not resuscitate status,Z66,Do not resuscitate,95.0,,Fuzzy matched to: 'Do not resuscitate' with score 95.0
Varices of other sites,A0109,Typhoid fever with other complications,85.5,,Fuzzy matched to: 'Typhoid fever with other complications' with score 85.5
Unspecified vascular insufficiency of intestine,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH],A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
"Depressive disorder, not elsewhere classified",A0472,"Enterocolitis due to Clostridium difficile, not specified as recurrent",85.5,,"Fuzzy matched to: 'Enterocolitis due to Clostridium difficile, not specified as recurrent' with score 85.5"
"Hypotension, unspecified",I959,"Hypotension, unspecified",100.0,,"Fuzzy matched to: 'Hypotension, unspecified' with score 100.0"
"Dependence on respirator, status",D7801,Intraoperative hemorrhage and hematoma of the spleen complicating a procedure on the spleen,85.5,,Fuzzy matched to: 'Intraoperative hemorrhage and hematoma of the spleen complicating a procedure on the spleen' with score 85.5
Other constipation,K5909,Other constipation,100.0,,Fuzzy matched to: 'Other constipation' with score 100.0
"Jaundice, unspecified, not of newborn",A0472,"Enterocolitis due to Clostridium difficile, not specified as recurrent",85.5,,"Fuzzy matched to: 'Enterocolitis due to Clostridium difficile, not specified as recurrent' with score 85.5"
Early satiety,R6881,Early satiety,100.0,,Fuzzy matched to: 'Early satiety' with score 100.0
Neoplasm related pain (acute) (chronic),G893,Neoplasm related pain (acute) (chronic),100.0,,Fuzzy matched to: 'Neoplasm related pain (acute) (chronic)' with score 100.0
Esophageal reflux,I8500,Esophageal varices without bleeding,85.5,,Fuzzy matched to: 'Esophageal varices without bleeding' with score 85.5
Embolism and thrombosis of other specified artery,I749,Embolism and thrombosis of unspecified artery,91.48936170212765,,Fuzzy matched to: 'Embolism and thrombosis of unspecified artery' with score 91.48936170212765
"Other complications due to other vascular device, implant, and graft",A0109,Typhoid fever with other complications,85.5,,Fuzzy matched to: 'Typhoid fever with other complications' with score 85.5
Personal history of tobacco use,Z720,Tobacco use,85.71428571428571,,Fuzzy matched to: 'Tobacco use' with score 85.71428571428571
Grand mal status,G40301,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable, with status epilepticus",85.5,,"Fuzzy matched to: 'Generalized idiopathic epilepsy and epileptic syndromes, not intractable, with status epilepticus' with score 85.5"
Unspecified fall,A64,Unspecified sexually transmitted disease,85.5,,Fuzzy matched to: 'Unspecified sexually transmitted disease' with score 85.5
"Backache, unspecified",R519,"Headache, unspecified",85.71428571428572,,"Fuzzy matched to: 'Headache, unspecified' with score 85.71428571428572"
Closed fracture of surgical neck of humerus,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
"Other and unspecified alcohol dependence, unspecified",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Other and unspecified hyperlipidemia,A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Unspecified essential hypertension,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
Alcohol withdrawal,F1010,"Alcohol abuse, uncomplicated",85.5,,"Fuzzy matched to: 'Alcohol abuse, uncomplicated' with score 85.5"
Other psoriasis,L408,Other psoriasis,100.0,,Fuzzy matched to: 'Other psoriasis' with score 100.0
Long-term (current) use of anticoagulants,Z7901,Long term (current) use of anticoagulants,97.5609756097561,,Fuzzy matched to: 'Long term (current) use of anticoagulants' with score 97.5609756097561
Tobacco use disorder,Z720,Tobacco use,90.0,,Fuzzy matched to: 'Tobacco use' with score 90.0
Cardiomegaly,I517,Cardiomegaly,100.0,,Fuzzy matched to: 'Cardiomegaly' with score 100.0
"Osteoarthrosis, unspecified whether generalized or localized, site unspecified",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Paroxysmal ventricular tachycardia,D595,Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli],85.5,,Fuzzy matched to: 'Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli]' with score 85.5
Surgical or other procedure not carried out because of contraindication,A0109,Typhoid fever with other complications,85.5,,Fuzzy matched to: 'Typhoid fever with other complications' with score 85.5
Aortic valve disorders,I358,Other nonrheumatic aortic valve disorders,87.90697674418604,,Fuzzy matched to: 'Other nonrheumatic aortic valve disorders' with score 87.90697674418604
Unspecified essential hypertension,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
Atrial fibrillation,I480,Paroxysmal atrial fibrillation,87.56756756756758,,Fuzzy matched to: 'Paroxysmal atrial fibrillation' with score 87.56756756756758
Postprocedural fever,R5082,Postprocedural fever,100.0,,Fuzzy matched to: 'Postprocedural fever' with score 100.0
Other cysts of jaws,M2749,Other cysts of jaw,97.2972972972973,,Fuzzy matched to: 'Other cysts of jaw' with score 97.2972972972973
"Urinary tract infection, site not specified",N390,"Urinary tract infection, site not specified",100.0,,"Fuzzy matched to: 'Urinary tract infection, site not specified' with score 100.0"
Atrial flutter,I483,Typical atrial flutter,86.66666666666667,,Fuzzy matched to: 'Typical atrial flutter' with score 86.66666666666667
Chronic systolic (congestive) heart failure,I5022,Chronic systolic (congestive) heart failure,100.0,,Fuzzy matched to: 'Chronic systolic (congestive) heart failure' with score 100.0
"Asthma, unspecified type, unspecified",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Other and unspecified hyperlipidemia,A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Long-term (current) use of aspirin,Z7982,Long term (current) use of aspirin,97.05882352941177,,Fuzzy matched to: 'Long term (current) use of aspirin' with score 97.05882352941177
Personal history of malignant neoplasm of prostate,Z8546,Personal history of malignant neoplasm of prostate,100.0,,Fuzzy matched to: 'Personal history of malignant neoplasm of prostate' with score 100.0
Unspecified atrial flutter,I4892,Unspecified atrial flutter,100.0,,Fuzzy matched to: 'Unspecified atrial flutter' with score 100.0
Atherosclerotic heart disease of native coronary artery with unstable angina pectoris,I25110,Atherosclerotic heart disease of native coronary artery with unstable angina pectoris,100.0,,Fuzzy matched to: 'Atherosclerotic heart disease of native coronary artery with unstable angina pectoris' with score 100.0
Rheumatic disorders of both mitral and tricuspid valves,I081,Rheumatic disorders of both mitral and tricuspid valves,100.0,,Fuzzy matched to: 'Rheumatic disorders of both mitral and tricuspid valves' with score 100.0
Percutaneous transluminal coronary angioplasty status,Z9861,Coronary angioplasty status,88.30188679245283,,Fuzzy matched to: 'Coronary angioplasty status' with score 88.30188679245283
Presence of prosthetic heart valve,Z952,Presence of prosthetic heart valve,100.0,,Fuzzy matched to: 'Presence of prosthetic heart valve' with score 100.0
Occlusion and stenosis of left carotid artery,I6522,Occlusion and stenosis of left carotid artery,100.0,,Fuzzy matched to: 'Occlusion and stenosis of left carotid artery' with score 100.0
Personal history of other lymphatic and hematopoietic neoplasms,Z8579,"Personal history of other malignant neoplasms of lymphoid, hematopoietic and related tissues",86.8103448275862,,"Fuzzy matched to: 'Personal history of other malignant neoplasms of lymphoid, hematopoietic and related tissues' with score 86.8103448275862"
Family history of ischemic heart disease and other diseases of the circulatory system,Z8249,Family history of ischemic heart disease and other diseases of the circulatory system,100.0,,Fuzzy matched to: 'Family history of ischemic heart disease and other diseases of the circulatory system' with score 100.0
Chronic total occlusion of coronary artery,I2582,Chronic total occlusion of coronary artery,100.0,,Fuzzy matched to: 'Chronic total occlusion of coronary artery' with score 100.0
Obstructive sleep apnea (adult) (pediatric),G4733,Obstructive sleep apnea (adult) (pediatric),100.0,,Fuzzy matched to: 'Obstructive sleep apnea (adult) (pediatric)' with score 100.0
Presence of aortocoronary bypass graft,Z951,Presence of aortocoronary bypass graft,100.0,,Fuzzy matched to: 'Presence of aortocoronary bypass graft' with score 100.0
"Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Personal history of antineoplastic chemotherapy,Z9221,Personal history of antineoplastic chemotherapy,100.0,,Fuzzy matched to: 'Personal history of antineoplastic chemotherapy' with score 100.0
Atherosclerotic heart disease of native coronary artery without angina pectoris,I2510,Atherosclerotic heart disease of native coronary artery without angina pectoris,100.0,,Fuzzy matched to: 'Atherosclerotic heart disease of native coronary artery without angina pectoris' with score 100.0
Unspecified essential hypertension,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
Coronary atherosclerosis of native coronary artery,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Do not resuscitate status,Z66,Do not resuscitate,95.0,,Fuzzy matched to: 'Do not resuscitate' with score 95.0
Personal history of nicotine dependence,Z87891,Personal history of nicotine dependence,100.0,,Fuzzy matched to: 'Personal history of nicotine dependence' with score 100.0
Other acquired absence of organ,A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
Hypertensive heart disease with heart failure,I110,Hypertensive heart disease with heart failure,100.0,,Fuzzy matched to: 'Hypertensive heart disease with heart failure' with score 100.0
"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits",Z8673,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits",100.0,,"Fuzzy matched to: 'Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits' with score 100.0"
Aortocoronary bypass status,G40001,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, with status epilepticus",85.5,,"Fuzzy matched to: 'Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, with status epilepticus' with score 85.5"
"Gout, unspecified",M109,"Gout, unspecified",100.0,,"Fuzzy matched to: 'Gout, unspecified' with score 100.0"
"Personal history of irradiation, presenting hazards to health",Z923,Personal history of irradiation,90.0,,Fuzzy matched to: 'Personal history of irradiation' with score 90.0
Long term (current) use of antithrombotics/antiplatelets,Z7902,Long term (current) use of antithrombotics/antiplatelets,100.0,,Fuzzy matched to: 'Long term (current) use of antithrombotics/antiplatelets' with score 100.0
